Headlines,Time,Description
Italy plans listing for Autostrade by early 2021: sources,Jul 17 2020,"The Italian government plans to list Autostrade per l'Italia by early next year after forcing through an agreement with the Benetton family to take Atlantia's  motorway business under state control, sources close to the matter told Reuters."
German abattoir scandal puts cooling systems under COVID spotlight,Jul 17 2020,"A COVID-19 outbreak in Germany is forcing meatpacking plants to review infection risks posed by their cooling systems, placing the industry at the sharp end of growing global concerns over airborne transmission of the coronavirus."
Former Pemex boss Lozoya taken to hospital after arrival in Mexico,Jul 17 2020,"Emilio Lozoya, a former boss of Mexican state oil company Pemex who faces corruption charges, was taken to hospital early on Friday due to the delicate state of his health after his extradition to Mexico, the attorney general's office said."
Bored bank customers flock to day-trading platforms during pandemic,Jul 17 2020,Retail investing is having a moment. Major U.S. brokerages that reported quarterly results this week cheered the self-directed day trading happening on their platforms as individuals with a bit of extra money and time on their hands during the coronavirus pandemic have been engaging more in markets.
Stripe wins business following Wirecard's collapse,Jul 17 2020,"The U.S. payments company Stripe is picking up some former Wirecard  customers, an executive told Reuters."
Indonesian tycoon Salim wins close shareholder vote on controversial $3 billion deal,Jul 17 2020,"Indonesian tycoon Anthoni Salim narrowly won shareholder backing on Friday for a $3 billion takeover transaction between companies he controls, overcoming criticism about the deal's valuation and questions about corporate governance."
"EU regulators halt LSE, Refinitiv probe, await data",Jul 17 2020,EU antitrust regulators have temporarily suspended their investigation into the London Stock Exchange's  $27 billion bid for data and analytics company Refinitiv while waiting for the companies to provide requested data.
Lyft to provide drivers with partition shields as coronavirus protection,Jul 17 2020,"Lyft Inc  said on Friday it would distribute some 60,000 vehicle partition shields to its most-active drivers as a protection against the coronavirus and begin selling the custom-made protective barriers to other drivers later this summer."
Deutsche Boerse proposes new rules for quick DAX expulsion in wake of Wirecard,Jul 17 2020,"In the wake of the Wirecard  accounting scandal, exchange operator Deutsche Boerse  said on Friday it was proposing rules to enable it to quickly expel companies from the leading DAX index when those firms file for insolvency."
Daimler to stop building sedans in the U.S. after second-quarter loss,Jul 17 2020,Daimler  will stop building Mercedes-Benz sedans in the United States and Mexico as it seeks deeper cuts after posting a smaller-than-expected quarterly loss.
Volkswagen expects single-digit sales decline in China this year,Jul 17 2020,Volkswagen AG  said on Friday it expects its China sales to fall a single-digit percent this year as new sport-utility vehicles and premium models help it recover from a sales slide in the world's biggest auto market.
"Coronavirus surge, renewed lockdowns fan fresh worries about global fuel demand",Jul 17 2020,"Surges in coronavirus infections are slowing a recovery in fuel use from the doldrums of lockdowns in the United States and other countries, raising concern it could be years before consumption rebounds from the impact of the pandemic."
"United Airlines, pilots union reach creative deal to limit furloughs",Jul 16 2020,United Airlines  and its pilots' union said on Thursday they had reached an agreement on two different packages aimed at reducing involuntary furloughs in the fall and keeping pilots at the ready once coronavirus-hit demand starts to pick up.
"Netflix names content chief Ted Sarandos co-CEO, forecasts weaker growth",Jul 16 2020,"Netflix Inc  on Thursday elevated its content chief Ted Sarandos to co-CEO, making the 20-year veteran of the pioneering streaming video service a clear successor to co-founder Reed Hastings."
Westpac says regulator-ordered report finds governance 'immature and reactive',Jul 16 2020,Westpac Banking Corp  said on Friday a regulator-ordered report found the lender had not made enough improvements to its risk management and culture even after it was sued for allegedly enabling payments between known child exploiters.
Twitter stepped up search to fill top security job ahead of hack,Jul 16 2020,"Twitter Inc  had stepped up its search for a chief information security officer in recent weeks, two people familiar with the effort told Reuters, before the breach of high-profile accounts on Wednesday raised alarms about the platform's security."
"Before hack tore through Twitter, online forum offered accounts for sale",Jul 16 2020,"Before a hacking campaign tore through Twitter and compromised some of its most high-profile users, an ad went up on a gray market site that facilitates the trade of user accounts for many popular websites including Twitter."
Microsoft trims jobs as it enters new fiscal year,Jul 16 2020,Microsoft Corp said on Thursday it had trimmed its workforce across geographies and teams as it entered a new fiscal year from July 1.
New York to invest $750 million to expand electric-vehicle infrastructure,Jul 16 2020,New York Governor Andrew Cuomo on Thursday announced an investment program that would allocate $750 million to build charging stations and other electric-vehicle infrastructure as part of the state's long-term goal to reduce emissions.
California blames PG&E for Kincade wildfire in wine country,Jul 16 2020,"The Kincade wildfire in California's wine country last October that forced some 2,000 people to flee homes was caused by PG&E Corp's electrical transmission lines, the state's Department of Forestry and Fire Protection (Cal Fire) said on Thursday."
"Jailed executive in Wirecard scandal offers confession, lawyer says",Jul 16 2020,"The former head of a key subsidiary of Wirecard, who was arrested earlier this month, has admitted wrongdoing to prosecutors for his role in a multi-billion-euros fraud, his lawyer said on Thursday."
U.S. judge approves transfer of jailed former VW executive to Germany,Jul 16 2020,A U.S. judge in Detroit on Thursday approved the transfer to Germany of a former Volkswagen AG  executive imprisoned in the automaker's diesel emissions scandal.
"Wall Street ends lower on COVID-19 worries, tech weighs",Jul 16 2020,"The S&P 500 dropped on Thursday, pulled lower by Microsoft Corp  and Apple Inc , as elevated levels of unemployment claims heightened concerns about the economic toll from rising coronavirus cases."
TUI to offer free coronavirus insurance to lure travellers: report,Jul 16 2020,"Travel company TUI   will offer travellers free coronavirus insurance starting this weekend, a German media group reported on Friday."
"With shift toward merit-based pay, Japan's Hitachi to drop old ways",Jul 16 2020,Hitachi Ltd  is moving to scrap a remnant of one of Japan Inc's most famous practices: seniority-based pay.
Key U.S. lawmakers back unions' call for new airline bailout,Jul 16 2020,"Key U.S. House Democrats are backing a push by airline unions for a new round of government bailouts to keep workers employed in the face of tens of thousands of possible layoffs this fall, according to a letter encouraging other colleagues to sign on."
"Exclusive: U.S. FBI is leading an inquiry into the Twitter hack, sources say",Jul 16 2020,"The U.S. Federal Bureau of Investigation is leading a federal inquiry into the Twitter hacking, two sources familiar with the situation said, after hackers seized control of accounts belonging to Joe Biden, Kim Kardashian and others in what appeared to be a bitcoin scam."
Twitter delays launch of new API software following hack,Jul 16 2020,Twitter Inc  said on Thursday it is delaying the launch of its new Application Programming Interface (API) following the recent hack of several high-profile accounts.
Focus falls on bitcoin trail in race to identify Twitter hackers,Jul 16 2020,"Hackers who targeted some of Twitter's top users to reap bitcoin worth $120,000 have likely left digital footprints that could offer clues for law enforcement agencies investigating the attack, three blockchain analysis companies told Reuters."
Senate Republican asks Twitter for urgent briefing on hacking incident,Jul 16 2020,The chairman of the Senate Commerce Committee asked Twitter Inc  to brief committee staff by next week on the hacking of high-profile accounts on Wednesday.
"Trump will remain on Twitter, his account secure: White House",Jul 16 2020,"U.S. President Donald Trump will not stop using Twitter and his account was secure during a hack of the social media platform, a White House spokeswoman said on Thursday."
FBI says it is investigating hack of high-profile Twitter accounts,Jul 16 2020,"The FBI's San Francisco office said on Thursday it has launched an investigation after hackers accessed Twitter's  internal systems to hijack accounts for high-profile people such as U.S. presidential candidate Joe Biden, reality TV star Kim Kardashian, former U.S. President Barack Obama and billionaire Elon Musk and used them to solicit digital currency."
"Rising U.S. coronavirus cases slam stocks, push debt yields lower",Jul 16 2020,"Government debt yields and global equity markets fell on Thursday as a growing number of U.S. coronavirus cases weighed on risk sentiment, which was also hurt by deteriorating U.S.-China relations and discouraging Chinese data."
Virus surges. Work hours plateau. U.S. may be flattening the wrong curve,Jul 16 2020,"The U.S. economic recovery showed signs of plateauing last week as the country battled rising coronavirus case counts and an increasingly fractured government response, according to data from a broad set of industry and government sources."
"Rise in COVID-19 cases spurs risk-off move, dollar lifted",Jul 16 2020,"The safe-haven U.S. dollar rose modestly on Thursday afternoon as worries about rising numbers of coronavirus infections spurred a broader risk-off move, pushing U.S. equities lower."
"Negative U.S. rate bets persist, but seen unlikely to happen",Jul 16 2020,Negative U.S. interest rates could be the norm next year and all through to 2023 if fed funds futures are any indication. Or it could just be traders hedging their bets.
Fed's Evans signals little reason to raise rates for years,Jul 16 2020,"There's little reason for the Federal Reserve to raise interest rates until inflation rises above the Fed's 2% target, Chicago Federal Reserve Bank President Charles Evans said on Thursday, noting that he expects low inflation to be a problem for the next few years."
"TikTok expected to operate as a U.S. company, White House adviser says",Jul 16 2020,A top White House adviser said on Thursday that he expects TikTok to separate from its Chinese owner and operate as an American company amid growing U.S. concerns about the security of the data handled by the short video app.
Oil falls as OPEC+ plans to raise output while virus cases increase,Jul 16 2020,Oil prices fell 1% on Thursday after OPEC+ agreed to ease record supply curbs and as new infections of the novel coronavirus continue to surge in the United States.
"Target, CVS, Walgreens to require customers wear masks at U.S. stores",Jul 16 2020,"Target Corp, CVS Health Corp and Walgreens Boots Alliance Inc  said on Thursday they would require customers wear face coverings while shopping at their U.S. stores, adopting a widely accepted way to curb the spread of the coronavirus."
"U.S. Senator Warner asks for probe of hacks, better monitoring of high-risk accounts",Jul 16 2020,"U.S. Senator Mark Warner called on Thursday for Twitter Inc to investigate how hackers gained access to the social media company's internal systems to hijack accounts of several politicians, billionaires, celebrities and companies, and to put more resources into protecting high-profile feeds."
Rejected Bridgewater trade secrets claim started as a guess: ruling,Jul 16 2020,"A senior Bridgewater Associates LP executive was only making a guess that former employees used trade secrets to compete against the world's largest hedge fund firm, according to an arbitration ruling made public on Thursday that rejected the firm's claim."
"Attorney General Barr accuses Hollywood, Big Tech of collaborating with China",Jul 16 2020,"U.S. Attorney General William Barr took aim at Hollywood companies, including Walt Disney Co  on Thursday as well as large technology firms like Apple, Alphabet's Google and Microsoft Corp over company actions with China."
Top EU court ditches transatlantic data transfer deal,Jul 16 2020,Europe's highest court ruled on Thursday that a transatlantic data transfer deal is invalid because of concerns about U.S. surveillance in a decision that could disrupt thousands of companies that rely on the agreement.
Explainer: U.S. Congress readies $740 billion defense bill covering far more than bullets,Jul 16 2020,"The National Defense Authorization Act, which sets policy for the U.S. Defense Department, is one of the only major bills to reliably pass Congress and be signed into law every year."
Investors sue Deutsche Bank and its CEO in wake of Epstein fine,Jul 16 2020,"Investors are suing Deutsche Bank and its CEO Christian Sewing, alleging the bank made false and misleading statements before it agreed to pay a $150 million fine for compliance failures linked to disgraced financier Jeffrey Epstein."
Morgan Stanley posts record profit on trading boom,Jul 16 2020,Morgan Stanley posted a record quarterly profit on Thursday that blew past analysts' expectations as another of Wall Street's big investment banks gained from huge swings in financial markets due to the coronavirus crisis.
Twitter silences some top accounts after internal systems hacked,Jul 16 2020,"Twitter  said hackers accessed its internal systems to hijack some of the platform's top voices including U.S. presidential candidate Joe Biden, reality TV star Kim Kardashian, former U.S. President Barack Obama and billionaire Elon Musk and used them to solicit digital currency."
Privacy activist Schrems welcomes EU court decision on Facebook,Jul 16 2020,"Austrian privacy activist Max Schrems on Thursday welcomed a decision by the European Union's top court in his case against Facebook, saying the legal basis for more then 5,000 U.S. companies that use an EU tool to transfer Europeans' personal data to the United States for commercial use has been annulled."
Malaysian court grants temporary freeze on $340 million 1MDB money in UK,Jul 16 2020,"A Malaysian court on Thursday granted an interim order to stop Saudi energy firm PetroSaudi International (PSI) from using more than $340 million in funds in Britain, which Malaysian prosecutors believe was siphoned from state fund 1MDB."
"U.S. retail sales snap back; high unemployment, rising COVID-19 loom over recovery",Jul 16 2020,"U.S. retail sales rose more than expected in June as consumers bought big-ticket items like motor vehicles and dined out, but a resurgence in new COVID-19 cases is chipping at the budding recovery, keeping 32 million Americans on unemployment benefits."
"American, JetBlue team up to boost New York flying and drive recovery",Jul 16 2020,American Airlines  and JetBlue Airways  said on Thursday they were forming a strategic partnership to boost flying options in New York and Boston and create what executives called a "growth engine" to recover from the COVID-19 pandemic.
"UK ban on Huawei opens door for competitors, although consumer may pick up tab",Jul 16 2020,Britain's decision to ban China's Huawei Technologies [HWT.UL] from next-generation 5G telecom networks is the latest blow to the global leader in telecom equipment and could help lay the groundwork for broader changes in the industry.
Oil giants including Exxon set first joint carbon target,Jul 16 2020,"A group of the world's top oil companies, including Saudi Aramco, China's CNPC and Exxon Mobil, have for the first time set goals to cut their greenhouse gas emissions as a proportion of output, as pressure on the sector's climate stance grows."
"Twitter shares stumble after high-profile, unprecedented hack",Jul 16 2020,"Shares of Twitter Inc dropped more than 4% in pre-market trading on Thursday, a day after hackers gained access to the social media company's internal systems to hijack accounts of several politicians, billionaires, celebrities and companies."
"Exclusive: J&J in talks with Japan, Gates Foundation to lock in deals on COVID-19 vaccine",Jul 16 2020,"Johnson & Johnson  is in talks with the government of Japan and the Bill and Melinda Gates Foundation about locking up allocations of its potential COVID-19 vaccine as it prepares to kick off human trials, the company's Chief Financial Officer Joseph Wolk told Reuters in an interview."
European stocks end off session lows ahead of EU summit,Jul 16 2020,"European shares ended off session lows on Thursday ahead of a keenly awaited meeting to organise a European recovery fund, after weak earnings and a growing number of COVID-19 cases had earlier pushed stocks down from one-month highs."
Exclusive: Natixis plans shake-up to focus on greener lending,Jul 16 2020,French bank Natixis  will merge its commodities and infrastructure operations to focus on clean energy in a restructuring sources said was accelerated by a series of loss-making loans to oil traders.
NY Fed's Williams says low take-up of emergency lending facilities a sign of success,Jul 16 2020,"The emergency lending facilities set up by the Federal Reserve helped to ease credit markets after they were disrupted by the pandemic, and relatively low usage of the programs is a sign that markets are functioning well, New York Fed president John Williams said Thursday."
"Amid virus crisis, U.S. bars imports of Malaysia's Top Glove over labour issues",Jul 16 2020,"U.S. Customs placed a detention order on imports of products made by subsidiaries of the world's largest medical glove maker, Malaysia's Top Glove Corp Bhd , an action taken against firms suspected of using forced labour."
Apple expands coding education programs to more historically Black schools,Jul 16 2020,Apple Inc said on Thursday it was working with 10 additional historically Black universities and colleges to become "hubs" that will teach computer programming and app design skills in their regions.
"EU regulators to probe Alexa, Siri and other voice assistants",Jul 16 2020,EU competition regulators are seeking information from 400 companies to establish if there are problems in the market for voice assistants such as Alexa and Siri and other internet-connected devices that could lead to antitrust cases.
Irish regulator sees U.S. data transfers decided on 'case by case' basis,Jul 16 2020,"Ireland's Data Protection Commissioner, the lead data regulator for Facebook in the European Union, on Thursday ""strongly welcomed"" a ruling by Europe's highest court that a transatlantic data transfer deal was invalid."
Ebay nears $10 billion sale of classified ads unit: sources,Jul 16 2020,"Ebay  has called a board meeting on Friday to select a buyer for its classified ads business in a deal potentially worth up to $10 billion, sources close to the matter told Reuters."
Twitter hacking spree alarms experts concerned about the platform's security,Jul 16 2020,"The extraordinary hacking spree that hit Twitter on Wednesday, leading it to briefly muzzle some of its most widely followed accounts, is drawing questions about the platform's security and resilience in the run-up to the U.S. presidential election."
U.S. business inventories post record drop in May,Jul 16 2020,"U.S. business inventories fell by the most on record in May amid the COVID-19 crisis, supporting expectations for the sharpest drop in gross domestic product in the second quarter since the Great Depression."
"ECB to go all the way on stimulus even as economy recovers, Lagarde says",Jul 16 2020,"The European Central Bank will use its stimulus firepower fully even as the euro zone economy shows some signs of rebounding from its pandemic-induced recession, ECB President Christine Lagarde said on Thursday."
Lagarde says ECB expects more grants than loans in EU recovery fund,Jul 16 2020,"The European Central Bank expects a pending European Union stimulus scheme to favour grants over loans in the funding mechanism it uses to help kick-start the bloc's economies, bank president Christine Lagarde said on Thursday."
Insurers favor warehouse investments over offices as pandemic hastens real estate shifts,Jul 16 2020,"Global insurers want to increase investments in commercial warehouses as their stakes in office space become riskier because of employees working remotely during the novel coronavirus pandemic, Goldman Sachs Asset Management (GSAM) executives said."
J&J says large study of coronavirus vaccine could begin in September,Jul 16 2020,"Johnson & Johnson  said on Thursday it is aiming to begin  in September a late-stage study of its experimental vaccine for the novel coronavirus, as researchers work at break-neck speed to develop a shot to combat the fast-spreading pathogen."
"Americans on COVID-19 jobless benefits spent more than when working, study shows",Jul 16 2020,"Americans who received enhanced unemployment benefits due to the coronavirus pandemic spent more than when they were working, a study released on Thursday said, adding to concerns about a steep fall in spending when the emergency benefits expire."
Instagram rolls out shopping feature in U.S.,Jul 16 2020,Instagram said on Thursday it was launching a new feature that will allow users to browse and buy products from brands and creators without leaving the app.
State-run Air India working to contain costs,Jul 16 2020,"State-run airline Air India Ltd said on Thursday it was working to contain costs by reducing debt, aircraft lease rentals, as well as staffing and operating expenses."
Bank of America profit slumps as heavy loan losses loom,Jul 16 2020,"Bank of America Corp  saw its profit more than halve in the second quarter as it set aside $5 billion to cover potential loan losses, while warning that it would struggle as long as interest rates stayed low."
Lagarde comments at ECB press conference,Jul 16 2020,"The European Central Bank left policy unchanged on Thursday, as expected, scrutinising instead the effectiveness and any unwanted side-effects of its crisis-fighting measures."
U.S. passive stock funds back in demand as investors seek steadier returns,Jul 16 2020,"U.S. passive equity funds have started to witness inflows after a two-month hiatus as investors flock to rising equity markets, but prefer shadowing indexes to picking stocks."
Japanese robot to clock in at a convenience store in test of retail automation,Jul 16 2020,"In August, a robot vaguely resembling a kangaroo will begin stacking sandwiches, drinks and ready meals on shelves at a Japanese convenience store in a test its maker, Telexistence, hopes will help trigger a wave of retail automation."
"YouTube not liable for user copyright breaches, EU court adviser says",Jul 16 2020,"Google's YouTube and other online platforms are not liable when users illegally upload copyrighted works onto their platforms, but rightholders can ask for injunctions against the companies, a European Union Court of Justice adviser said on Thursday."
Uber acquires public transportation software company in latest transit expansion,Jul 16 2020,"Uber Technologies Inc on Thursday announced the acquisition of transit software provider Routematch, marking the ride-hailing company's latest move toward expanding its business with public transportation agencies."
Facebook studying EU court ruling on data transfer,Jul 16 2020,Facebook said on Thursday it was looking at the implications of a European court ruling that deemed a transatlantic data transfer deal invalid because of concerns about U.S. surveillance.
Domino's U.S. same-store sales rise 16% on pizza demand during pandemic,Jul 16 2020,"Domino's Pizza Inc  on Thursday beat Wall Street estimates for quarterly same-restaurant sales and profit, as diners ordered in more pies since dine-in options were limited due to lockdowns triggered by the COVID-19 pandemic."
Exclusive: Nissan plans 30% cut in car output through December as virus hits demand,Jul 16 2020,"Nissan Motor Co  is planning a 30% year-on-year cut in global vehicle production through December as falling demand due to the COVID-19 pandemic complicates its turnaround efforts, two sources with knowledge of the matter told Reuters."
Amazon India demands product listings have country of origin by August 10,Jul 16 2020,"Amazon.com Inc's India unit has told sellers they must provide country of origin information on product listings by August 10, according to an email sent by the e-commerce giant to sellers, against a backdrop of brewing anti-China sentiment."
EU justice chief says will boost data transfers tool after court setback,Jul 16 2020,"The European Commission will closely study a top EU court ruling striking down an EU-U.S. data transfer pact and consider how to boost such transfers with its U.S. counterpart, EU Justice Chief Didier Reynders said on Thursday."
Factbox: Reaction after EU court strikes down transatlantic data transfer deal,Jul 16 2020,Europe's top court on Thursday quashed a transatlantic data transfer deal for the second time because of U.S. surveillance concerns in a ruling that could disrupt thousands of companies that rely on the pact.
"EU's Vestager says court rulings on Apple taxes, EU data transfer tool are a 'loss'",Jul 16 2020,"The European Union's antitrust chief Margrethe Vestager said on Thursday that EU court rulings this week, which saw courts reject a key EU tool used to transfer Europeans' personal data across the Atlantic and reject an EU order for Apple to pay 13 billion euros in Irish back taxes, were a ""loss""."
"China's economy rebounds after steep slump, weak demand, U.S. tensions raise risks",Jul 16 2020,"China's economy returned to growth in the second quarter after a deep slump at the start of the year, but unexpected weakness in domestic consumption underscored the need for more policy support to bolster the recovery after the shock of the coronavirus crisis."
